Best model: dsc0.689.pth.tar
Trans dsc: 0.5319, Raw dsc: 0.2910, Time: 0.1306, Jac: 1.0000
Trans dsc: 0.5235, Raw dsc: 0.3288, Time: 0.1299, Jac: 1.0000
Trans dsc: 0.4784, Raw dsc: 0.2538, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.4699, Raw dsc: 0.2621, Time: 0.1299, Jac: 1.0000
Trans dsc: 0.5609, Raw dsc: 0.3317, Time: 0.1303, Jac: 1.0000
Trans dsc: 0.5480, Raw dsc: 0.2991, Time: 0.1298, Jac: 1.0000
Trans dsc: 0.5577, Raw dsc: 0.2634, Time: 0.1297, Jac: 1.0000
Trans dsc: 0.5045, Raw dsc: 0.3114, Time: 0.1301, Jac: 1.0000
Trans dsc: 0.5667, Raw dsc: 0.2706, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.5219, Raw dsc: 0.2921, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.5396, Raw dsc: 0.3227, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.5246, Raw dsc: 0.3122, Time: 0.1302, Jac: 1.0000
Trans dsc: 0.5143, Raw dsc: 0.2606, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.5073, Raw dsc: 0.3252, Time: 0.1323, Jac: 1.0000
Trans dsc: 0.5559, Raw dsc: 0.2980, Time: 0.1302, Jac: 1.0000
Trans dsc: 0.5472, Raw dsc: 0.3071, Time: 0.1293, Jac: 1.0000
Trans dsc: 0.5371, Raw dsc: 0.3302, Time: 0.1303, Jac: 1.0000
Trans dsc: 0.5014, Raw dsc: 0.2437, Time: 0.1293, Jac: 0.0000
Trans dsc: 0.5376, Raw dsc: 0.2960, Time: 0.1298, Jac: 1.0000
Trans dsc: 0.5385, Raw dsc: 0.2926, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.5493, Raw dsc: 0.3285, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.5463, Raw dsc: 0.2879, Time: 0.1294, Jac: 1.0000
Trans dsc: 0.4846, Raw dsc: 0.3180, Time: 0.1288, Jac: 1.0000
Deformed DSC: 0.523 +- 0.028, Affine DSC: 0.299 +- 0.027
deformed det: 1.3647612577639732e-07, std: 3.4745120940258634e-08
avg time: 0.13242924317069676
avg jac: 0.9391304347826087
